ptr,Data center,Peeringdb for data center,verified
2800tc,Vantage QC4,https://www.peeringdb.com/fac/8256,yes
2900mc,Vantage QC1,https://www.peeringdb.com/fac/5682,yes
2675pt,Vantage QC2,https://www.peeringdb.com/fac/5681,yes
390mr,PureColo Kanata,https://www.peeringdb.com/fac/5555,yes
